fid,name_id,name,status,feat_id,feat_type,nzgb_ref,land_district,crd_projection,crd_north,crd_east,crd_datum,crd_latitude,crd_longitude,info_ref,info_origin,info_description,info_note,feat_note,maori_name,cpa_legislation,conservancy,doc_cons_unit_no,doc_gaz_ref,treaty_legislation,geom_type,accuracy,gebco,region,scufn,height,ant_pn_ref,ant_pgaz_ref,scar_id,scar_rec_by,accuracy_rating,desc_code,rev_gaz_ref,rev_treaty_legislation
"12985","37643",Queenstown,Unofficial Recorded,"122626",Town,,Otago,NZTM,5004302.8,1258247.9,NZGD2000,-45.032259,168.661449,,,Feature shown on: NZMS260 E41 Edition 1994 Limited Revision 1996,,,No,,,,,,POINT,,,,,,,,,,"1",TOWN,,
"13021","38316",Reefton,Unofficial Recorded,"123299",Town,,Nelson,NZTM,5336630.5,1505930.5,NZGD2000,-42.116786,171.862062,,,Feature shown on: NZMS260 L30 Edition 1 1983 Limited Revision 1997,,,No,,,,,,POINT,,,,,,,,,,"1",TOWN,,
"13148","40803",Stratford,Unofficial Recorded,"125786",Town,,Taranaki,NZTM,5644606.3,1710690.5,NZGD2000,-39.340894,174.284468,,,Feature shown on: NZMS260 Q20 Edition 1 1987,,,No,,,,,,POINT,,,,,,,,,,"5",TOWN,,
"13740","43511",Thames,Unofficial Recorded,"128496",Town,,South Auckland,NZTM,5886749.3,1825655.3,NZGD2000,-37.138431,175.540521,,,Feature shown on: NZMS260 T12 Edition 3 1991 Limited Revision 1996,,,No,,,,,,POINT,,,,,,,,,,"5",TOWN,,
"13872","46186",Waimate,Unofficial Recorded,"131171",Town,,Canterbury,NZTM,5044875.4,1445370.4,NZGD2000,-44.732809,171.047135,,,Feature shown on: NZMS260 J40 Edition 1 1984,,,Yes,,,,,,POINT,,,,,,,,,,"5",TOWN,,
"14592","50410",Murapara,Unofficial Replaced,"13837",Town,,South Auckland,NZTM,5737038.1,1923295.2,NZGD2000,-38.456408,176.704782,,Replaced by Murupara 23/01/1953 3:87,"Township located at the southern end of a plain of the Rangitaiki River, 40km South of Kawerau and 53km South-east of Rotorua. Galatea Survey District.",,,Yes,,,,,,POINT,,,,,,,,,,,,1953 (3) p.87,
"15029","20590",Featherston,Official Assigned,"105554",Town,2018-ln2209,Wellington,NZTM,5445662.1,1795264.4,NZGD2000,-41.116871,175.325796,LINZ file reference: GES-N15-07-17/622,"The Provincial Government of Wellington surveyed the site of Featherston in 1856, and named the town for Dr Isaac Featherston (1813-1876), who was Superintendent of Wellington Province at the time. Earlier the area was known as Burlings, after Henry Burling, the proprietor of the first hotel, who took up land near the Māori settlement of Paetūmōkai in the 1840s.","A small town in South Wairarapa District, approximately 50km northeast of Wellington. Feature shown on: NZMS260 S27 Edition 1 1980; NZTopo50-BP33 953457",,,No,,,,,,POLYGON,,,,,,,,,,"6",POPL,,
"15207","24119",Kaikōura,Official Approved,"109085",Town,2018-ln5487,Marlborough,NZTM,5304393.5,1656455.6,NZGD2000,-42.41071,173.686114,Linzone ID: A3379678,,"Feature shown on: NZMS260 O31; NZTopo50-BT27 565044",,,Yes,,,,,,POINT,,,,,,,,,,"5",TOWN,,
"15973","1522",Flat Bush,Official Assigned,"11657",Town,2007 (58) p.1513,North Auckland,NZTM,5906064.9,1768889.4,NZGD2000,-36.976385,174.897461,"Mins v/11 8/11/2006 pp 21; File GES-N15-07-06/1319","Flat Bush has had a long term association and usage within this wider locality/town area, and the Council wish to retain the historic connection with this name. The name Flat Bush came about from early settlers naming this locality for the unusual flat bush that characterised the area, particularly when viewed from the surrounding ridges. Re-establishing and re-positioning Flat Bush over this area, to which it has been historically applied","New locality/town in Manukau City, generally bounded west by East Tamaki and Otara, north by East Tamaki Heights, east by low lying catchment hills, and south by Totara Heights.",,,No,,,,,,POINT,,,,,,,,,,,,,
"16024","1773",Granity,Official Assigned,"11929",Town,1950 (70) p.1989,Nelson,NZTM,5390759.9,1504646.5,NZGD2000,-41.629193,171.855264,"Min 2, 22/50; Corres XXV pp 81, 93, 270","The name Torea, meaning either Pied or Black Oystercatcher, was not used or known to the local residents at the time. The Buller County Council unanimously passed a resolution to change the name to Granity, which had been long established and very widely known, in 1949, and proposed the name change to the Board.","locality on the Nelson Coast, facing the Tasman Sea, at the mouth of Granity Stream.  Ngakawau Survey District.",,,No,,,,,,POINT,,,,,,,,,,,,,
"16034","1802",Greta Valley,Official Assigned,"11961",Town,1982 (76) p.2163,Canterbury,NZTM,5243057.5,1597624.3,NZGD2000,-42.965126,172.97087,"Corres XXXVI, XXXVII, XLVI, pp 271, 272; 19, 20; 253-256, 506; File 14, pp 232, 234; File 3/201 v/13 f/1772, 3/201 v/14 f/1995 5/03/1981, 15/01/1982","Settlement is located at the head of the Valley down which the Greta River flows. The village was established in 1976 on land acquired from the adjoining farm property. Previously known as ""Motunau"", but was often confused with nearby ""Motanau Beach""",Township at head of Greta Valley,,,No,,,,,,POINT,,,,,,,,,,,,,
"16039","1830",Haast Beach,Official Assigned,"11993",Town,1987 (62) p.1964,Westland,NZTM,5135400,1278300,NZGD2000,-43.864341,168.996726,"Corres LII pp 6, 94, 96, 132, 133, 147, 167; File 11/31 f/19, f/37, f/88",The old Haast locality which was moved when the MOW shifted the township onto SH6. The township is named in honour of Sir Julius von Haast. Refer information on Haast.,"Name for old location of township on coast, south of mouth of the Haast River",,,No,,,,,,POINT,,,,,,,,,,,,,
"16045","1862",Hanmer Springs,Official Assigned,"12029",Town,1960 (61) p.1515,Canterbury,NZTM,5292005.8,1586148.6,NZGD2000,-42.524202,172.831358,"Min 1, 2, 3, 24/39, 48/50, 3/51, 22/60; Corres XV, XXV, XXVI, XXVII, XXXIII, XXXIV pp 45; 111, 129, 176, 231, 270; 3, 11, 46, 49, 51, 53, 126, 244, 267; 9-13, 39, 62, 68-71, 92-7; 206-7, 270-80, 293-7; 27-31","Named after Thomas Hanmer, the part owner of Hawkswood Station from 1852 to 1855, and for a while manager of St Leonards. The probable European discoverer of the springs was William Jones, who was manager of St Leonards in 1859. The name first appeard as hanmer Springs in 1891, and the Post Office first used the name Hanmer Springs in 1905. The name Hanmer for the township, was approved by the Honorary Geographic Board in 1939, and gazetted in 1948. The Geographic Board approved the name Hanmer for the locality, and post office in 1950, and despite objections, this was confirmed in 1951, and approved by the Minister of Lands. These decisions were reversed for the township in 1960, following a petition to the Postmaster-General, from the Amuri County Council, and 200 residents of the community. Township. Instead of Hanmer (19/07/1951 55:1019 and 1939 Hon p. 9)",Formerly known as Hanmer Springs,,,No,,,,,,POINT,,,,,,,,,,,,,
"16617","3475",Minginui,Official Assigned,"13609",Town,1949 (22) p.858,South Auckland,NZTM,5716233.2,1924813.5,NZGD2000,-38.642953,176.731819,"Min 2, 109/48; Corres XXII, XXIII pp 242, 244, 293-7; 5, 14-5, 67, 69, 97, 110-2",Name taken from the Māori Block and Stream in the area.,Township in Block XIII Ahikereru Survey District.  20Km South of Murupara.,,,Yes,,,,,,POINT,,,,,,,,,,,,,
"16697","3604",Motuoapa,Official Assigned,"13752",Town,1953 (67) p.1920,South Auckland,NZTM,5686738,1849151.6,NZGD2000,-38.932922,175.874345,"Min 2, 98/53; Corres XXII, XXVIII pp 200, 226, 234; 102-3, 240","Māori meaning, Motu O Apa, Island of Apa. Apa is an abbreviation of the name of a Māori chief of the area. Instead of Motuopa",Locality in bay in Lake Taupo.  Block III Tokaanu Survey District. Feature shown on: NZMS260 T19 Edition 2 1994,,,Yes,,,,,,POINT,,,,,,,,,,,,,
"16852","3880",Murchison,Official Assigned,"13815",Town,1950 (4) p.39,Nelson,NZTM,5372171.5,1543990.4,NZGD2000,-41.800343,172.325805,"Min 2, 97/49; Corres XXIII, XXIV pp 131-2; 221, 242; File 11/67 f/86","Named after Sir Roderick Murchison, one of the outstanding geologists of the day. In 1865, the first survey of the Town of Hampden was carried out by Thomas Brunner, who was at that time the chief Surveyor for the Provincial government. The name Hampden was after John Hampden, leader of the roundheads in the civil war in England 1642-1649. When Newman Brothers commenced a regular mail service in 1882, the name Hampden was gradually changed to Murchison to avoid confusion with the town of Hampden in the Otago District. In 1949, the then District land Registrar stated that the name Murchison had been known for 67 years. Instead of Hampden",Locality on the junction of the Buller and Mangles Rivers.  Tutaki Survey District. Feature shown on: NZMS260 M29 Edition 1 1987,,,No,,,,,,POINT,,,,,,,,,,,,,
"16862","3899",Murupara,Official Assigned,"13837",Town,1953 (3) p.87,South Auckland,NZTM,5737038.1,1923295.2,NZGD2000,-38.456408,176.704782,"Min 2, 36/52; Corres XXVII, XXVIII, XXIX, XXX pp 266, 278; 106; 179-80, 190; 1, 19-20, 286; Linzone ID: fA325625",Origin and meaning unknown. Instead of Murapara,"Township located at the southern end of a plain of the Rangitaiki River, 40km South of Kawerau and 53km South-east of Rotorua. Galatea Survey District.","Meaning of Murupara ""taniwha"" Sourced from Infomap 346-01 Te Ika a Māui Edition 1 1995",,Yes,,,,,,POINT,,,,,,,,,,,,,
"17085","4306",Otematata,Official Assigned,"14266",Town,1958 (73) p.1731,Otago,NZTM,5057171.5,1377166.8,NZGD2000,-44.604282,170.191995,"Min 3, 26/58; Corres XXXII pp 19-20, 32-6, 138, 141","name from the nearby Otematata River, and Otematata Run. Name suggested by the State Hydro Electric Department.",Construction town for Benmore Hydro-electirc scheme. Near confluence of Waitaki and Otematata Rivers.  Gala Survey District.,,,Yes,,,,,,POINT,,,,,,,,,,,,,
"17414","4930",Rakaia,Official Assigned,"14922",Town,1953 (67) p.1920,Canterbury,NZTM,5154804.8,1521514.2,NZGD2000,-43.755644,172.025053,"Min 2, 85/53; Corres XVIII, XXVIII pp 231; 15-6, 84; File 3/201 v/4 f/199, 201, 234 30/9/1952, 22/2/1954","Rakaia is the South Island form of rangaia, and refers to the practice of strong men standing in line to break the force of the water when crossing a river. For some time the river was known as the Cholmondeley. Instead of original official name South Rakaia","Locality on the South bank of the Rakaia River, 27km North-east of Ashburton.  Rakaia Survey District. Feature shown on: NZMS260 L36 Edition 1 1982",,,Yes,,,,,,POINT,,,,,,,,,,,,,
"17429","4957",Rangitata,Official Assigned,"14950",Town,1953 (67) p.1920,Canterbury,NZTM,5119519,1469709.5,NZGD2000,-44.065918,171.373111,"Min 2, 86/53; Corres X, XVIII, XX, XXV, XXVIII, XXXII pp 111-2, 114-5, 124-5, 127, 130; 31-61, 196, 231-2; 30-42, 89, 100, 154, 157, 205--217, 251-253; 285; 15-6, 84; 226; File 3/201 v/4 f/199  30/09/1952","Literal translation, Rangi; day or sky, tata; lowering clouds. Instead of original official name South Rangitata","Locality on the South bank of the Rangitata River, 35km South-west of Ashburton, and 21km North of Temuka.  Geraldine Survey District.",,,Yes,,,,,,POINT,,,,,,,,,,,,,
"17538","5164",Rotoehu Forest Village,Official Assigned,"15164",Town,1950 (4) p.39,South Auckland,NZTM,5799478.2,1908733.4,NZGD2000,-37.899882,176.511119,"Min 2, 145/49; Corres XXIV, XXV pp 193; 1, 21",Named after the forest in which the locality is situated.,Locality approximately 7 miles South of Ohinepanea.  Waihi South Survey District.,"Probably the locality that has been, and is currently named Pongakawa Valley on maps.",,Yes,,,,,,POINT,,,,,,,,,,,,,
"18067","6124",Temple View,Official Assigned,"16187",Town,1958 (73) p.1731,South Auckland,NZTM,5811738.1,1795795.2,NZGD2000,-37.82078,175.224538,"Min 3, 57/58; Corres XXXII, XXXIII pp 151-3, 186, 297; 14",Name given because it is the location of the Temple and College of the Church of Jesus Christ of Latterday Saints.,Locality adjacent to the Temple and College of the Church of Jesus Christ of Latterday Saints. Approximately 3 miles south-west of Frankton.  Hamilton and Alexandra Survey Districts.,,,No,,,,,,POINT,,,,,,,,,,,,,
"18308","1581",Foxton Beach,Official Assigned,"11722",Town,1951 (55) p.1019,Wellington,NZTM,5518279.3,1789130.1,NZGD2000,-40.464647,175.230789,"Min 2, 63/50, 10/51; Corres XXV, XXVI, XXVII pp 193-5, 202, 231, 270; 42-4, 50, 52, 60, 67, 78-80, 100, 126, 185, 187, 268; 13, 39, 62","Renamed Foxton Beach in lieu of Manawatu heads in 1950-51, after a submission from the Foxton Chamber of Commerce.",Locality situated on the North bank at the mouth of the Manawatu River.  Moutere Survey District.,,,No,,,,,,POINT,,,,,,,,,,,,,
"18499","6521",Twizel,Official Assigned,"16491",Town,1969 (8) p.240,Canterbury,NZTM,5095395.5,1368262.7,NZGD2000,-44.25779,170.097009,"Min 3, 45/66; Corres XXXVIII PP 232, 278-9, XXXIX p 55, XL pp 186-9, 201-3, 206, 213-5, 264; File 3/201 v/5 f/485, 503B; File 22 2605 3, v/15,  f/284-5","The township takes its name from the Twizel River, which in turn was named by the pioneer surveyor John Thomson after the Twizel Bridge over the River Tweed, Northumberland, North-east England. The name Twizel, for the then planned town, was suggested by Mr Robert Gough, Surveyor General and Chairman of the Geographic Board, due to the sites proximity to the Twizel River, and selected from a list of names, after a submission from the Ministry of Works.","Upper Waitaki River basin; new construction township site between Ohau and Twizel Rivers, in Blocks VI and VII, Strachey Survey District",,,No,,,,,,POINT,,,,,,,,,,,,,
"18774","7034",Wharewaka,Official Assigned,"17022",Town,1971 (13) p.259,South Auckland,NZTM,5708986.7,1866980.3,NZGD2000,-38.727471,176.071137,"Min 3, 1/70; Corres XXXIX pp 178-9, 224-5, 240, XLI pp 62-3, 65-6, 69, 97, 101","Name change from Tauhara to Wharewaka submitted by the Taupo County Council, for the township, in November 1969, to avoid confusion with the Tauhara area, fast becoming a suburb, in the Borough of Taupo. Name is taken from Wharewaka point to the South of the township. Instead of ""Tauhara""","The township situated on the eastern shore of Lake Taupo, approximately 2 miles south of Taupo Borough. Feature shown on: NZMS260 U18 Edition 1 1987 Reprinted 1987",,,Yes,,,,,,POINT,,,,,,,,,,,,,
"18783","7047",Whataroa,Official Assigned,"17036",Town,1951 (55) p.1019,Westland,NZTM,5206585.7,1386108,NZGD2000,-43.263185,170.364608,"Min 1, 2, 1934 p100, 20/39, 58/50, 7/51; Corres II, IV, XI, XV, XXV, XXVI, XXVII, XXVIII, XXIX, XXX, XXXIII, XXXIV pp 36, 58; 29, 33; 102; 43; 96, 127-8, 177, 231, 270, 283, 288, 296; 38, 54, 105-6, 126, 268; 62, 85; 164; 271; 138-42; 49, 53; 202-3; File 11/31 f/271","In early years the site was known as Matainui, this was changed to Whataroa in the 1930s when the settlement moved a few miles to it's present location. The district was known as Wataroa, the current spelling being confirmed at the same time. The true meaning of the word may be good storehouse or good place for food. The district was noted by the Māori for it's abundant game. Formerly known as Wataroa. Also official by 1939 Hon p. 43","Locality on the main West Coast highway, 3km West of the Whataroa River, and 20km North-west of Franz Josef/ Waiau.  Whataroa Survey District.",,,Yes,,,,,,POINT,,,,,,,,,,,,,
"18968","32930",Ōakura,Official Approved,"117907",Town,2019-ln2814,Taranaki,NZTM,5670149.6,1682410.7,NZGD2000,-39.113914,173.953236,"Linzone ID: A3495892; A3572612",,"Feature shown on: NZMS260 P19; NZTopo50-BH28 824701",,,Yes,,,,,,POINT,,,,,,,,,,"5",POPL,,
